지역,매장,테마,별점,난이도,리뷰수
건대,포인트나인 건대점,RETURN,8.56,5,647
광주,숨바꼭질 2호점,명당,8.56,3,365
인천,넥스트에디션 부평점,THISMAN,8.55,7,510
일산,오늘 탈출,첫 출근 이야기,8.55,7,377
수원,골든타임 이스케이프,순백향,8.55,6,369
광주,숨바꼭질 2호점,재개발구역 : 관계자 외 출입금지,8.55,6,337
강남,플레이더월드 강남점,두근두근 러브 대작전,8.55,4,55
건대,드림이스케이프,V.E.T.,8.55,3,469
대구,머더파커 대구 2호점,타겟,8.54,8,237
홍대,비트포비아 던전 101,MST 엔터테인먼트,8.54,5,716
대구,지구별 방탈출,만월 << 꿈을 훔치는 요괴>>,8.53,5,387
대구,지구별 방탈출,펭귄키우기,8.52,9,284
대학로,에필로그,STAGE,8.52,6,365
홍대,키이스케이프 홍대점,고백,8.51,9,643
홍대,머더파커 WOW 홍대점,홈그라운드(Home Ground),8.51,3,430
홍대,위욜,즐거운 나의 집,8.5,7,476
인천,어메이즈드 부평 2호점,이탈리안잡,8.49,7,617
광주,비밀의 화원 광주점,비밀의 가족,8.49,7,53
부산,머더파커 부산점,사라진 보물2056,8.48,8,135
신림,룸엘이스케이프,METRO,8.48,5,629
전주,머더파커 전주 2호점,스모커,8.48,5,132
일산,에베레스트 이스케이프,EVEREST,8.47,7,235
부산,비트포비아 서면 던전,꿈의 공장,8.47,3,98
부산,셜록홈즈 부산아트몰링점,95,8.46,0,13
홍대,키이스케이프 홍대점,삐릿-뽀,8.46,7,761
광주,숨바꼭질 2호점,무죄2,8.46,7,302
광주,에스케이프,레드,8.46,6,237
대학로,에필로그,MONDAY NIGHT,8.45,5,423
수원,소우주,풀문,8.45,5,494
홍대,비트포비아 홍대 던전,오늘 나는,8.45,4,653
건대,머더파커 건대 2호점,5010,8.44,8,352
대학로,상상의문 대학로점,나이트워크 (리뉴얼),8.44,6,212
잠실,머더파커 잠실점,집으로 가자 야호!,8.43,5,418
대학로,상상의문 대학로점,스포일러,8.42,9,448
서울(기타),셜록홈즈 서울대입구점,더 헝거:욕망의 큐브,8.42,8,165
홍대,제로월드 홍대점,사랑...하는...감?,8.42,7,433
홍대,머더파커 홍대 1호점,엠M,8.39,8,476
홍대,티켓 투 이스케이프,오 자네 왔는가!,8.39,6,140
강남,키이스케이프 강남점,그카지말라캤자나,8.39,4,791
경기(기타),시크릿도어 방탈출,클로젯 The Closet,8.38,5,238
대학로,비밀의 화원 시네마틱 혜화점,H.E.L.L.P,8.37,8,441
안산,꿈소풍 안산 2호점,시민상가 철거반,8.37,8,205
건대,머더파커 건대 1호점,여행,8.37,5,620
건대,넥스트에디션 건대 2호점,방탈출 아카데미 (Master 과정),8.36,8,302
강남,포인트나인 강남 2호점,HOMETOWN,8.36,6,530
강남,겟어웨이 방탈출,기억을 잃은 자들,8.33,0,9
강남,룸즈에이 강남점,테마 팩토리,8.33,7,530
인천,둠 이스케이프 1호점,기담정,8.33,6,593
광주,에스케이프,베타 테스터,8.32,6,280
홍대,티켓 투 이스케이프,해줘! 놈즈,8.32,4,128
잠실,머더파커 잠실 WOW점,파커랜드,8.32,4,295
홍대,싸인 이스케이프 홍대점,하이팜,8.31,6,656
수원,상상의문 수원점,복도끝,8.31,4,77
대학로,비밀의 화원 시네마틱 혜화점,딜레마,8.3,7,471
대구,황금열쇠 대구동성로 2호점 (더킹),냥탐정 셜록캣,8.3,5,212
대구,룸즈에이 동성로 아카데미점,명부에 점을 찍으라,8.29,4,219
홍대,이스케이퍼스 2호점,인생낚시,8.28,8,550
대구,셜록홈즈 대구동성로점,단잠,8.28,4,87
홍대,룸엘이스케이프 홍대 1호점,베니,8.28,3,525
강원,인스테이지 방탈출카페,감자의 꿈,8.27,7,55
강남,황금열쇠 강남점 (타임스퀘어),NOMON : THE ORDEAL,8.27,5,791
수원,룸즈에이 수원역점,필활,8.27,5,234
부산,머더파커 부산점,도굴왕,8.27,5,165
천안,셜록홈즈 천안 2호점,미즈몰리아와 수수께끼의 책,8.27,4,194
홍대,상상의문 홍대점,Didn't,8.26,10,376
천안,셜록홈즈 아산점,귀로여관,8.26,8,89
잠실,머더파커 잠실점,두목 이스케이프,8.26,7,405
강남,비트포비아 던전루나,3일,8.24,8,307
광주,상상의문 광주점,시크릿 왕국의 스캔들,8.24,5,71
강남,엑소더스 강남 1호점,WISH,8.23,6,124
대구,지구별 방탈출,사명 : 투쟁의 노래,8.22,8,283
대구,셜록홈즈 대구동성로점,랑슈 뷰티연구소,8.22,4,45
강남,싸인 이스케이프 강남점,EXPRESS,8.21,8,263
건대,이스케이프 # 건대점,옥순양갱,8.21,5,374
인천,서울 이스케이프 룸 부평점,죽음을 부르는 재즈바,8.2,8,142
홍대,지구별 방탈출 홍대어드벤처점,지난날을 잊었다,8.2,5,501
강남,에피소드 방탈출 강남점,귀문기담,8.2,5,536
대구,황금열쇠 대구점,가이아 기적의땅,8.2,3,320
대구,황금열쇠 대구점,타임스틸러,8.19,8,307
강남,황금열쇠 강남점 (타임스퀘어),섬 : 잊혀진 이야기,8.19,7,411
강남,도어 이스케이프 레드 신논현점,비,8.18,8,600
부천,버스티드,THE END,8.18,5,288
홍대,지구별 방탈출 홍대라스트시티점,스위티,8.18,2,362
수원,소우주,SPIN - OFF,8.17,5,308
건대,이스케이프 # 건대점,캠프ing,8.17,4,349
부산,비트포비아 서면 던전,날씨의 신,8.17,3,63
수원,메타이스케이프,무저갱 : 사라진 사람들,8.16,10,237
강남,포인트나인 강남 2호점,HOMECOMING,8.16,8,562
수원,메타이스케이프,아케이드 맨,8.16,8,236
강남,도어이스케이프 블루 신논현점,이방인,8.16,7,493
건대,솔버 2호점,디어 마르시,8.16,7,564
전주,비밀의 화원 전주점,담력학원,8.16,3,114
수원,메타이스케이프,에버드림,8.15,6,262
강남,이스케이프랩,이세계용사,8.14,6,632
인천,둠 이스케이프 2호점,인바이트,8.13,7,475
수원,골든타임 이스케이프,매화,8.13,7,355
대구,룸즈에이 동성로 아카데미점,슬기로운 지구생활,8.13,6,75
대구,황금열쇠 대구동성로 2호점 (더킹),지옥,8.13,4,214
수원,상상의문 수원점,직박구리:남친탐구생활,8.13,3,75
인천,둠 이스케이프 2호점,DESTINY(운명),8.11,7,565
부천,버스티드,그림도 찾아주나요?,8.11,4,285
대학로,비트포비아 대학로점,구룡 잠들지 않는 도시,8.09,8,446
홍대,이스케이퍼스 2호점,"만약, 당신이 길을 잃었다면",8.09,3,452
일산,스토리메이커스,n,8.08,8,156
대구,서울 이스케이프 룸 대구 동성로점,파킹랏,8.07,7,75
경기(기타),나비잠,트러블,8.07,2,166
건대,이스케이프 # 건대점,튜링테스트,8.06,10,284
홍대,미스터리 룸 이스케이프 홍대 2호점,SAW : 0KG,8.06,9,281
천안,마스터키 천안신부점,하루살이,8.06,8,232
대구,룸즈에이 동성로 아카데미점,평화로운 에이마트,8.06,5,98
신촌,티케이프,만수마을,8.05,6,611
강남,황금열쇠 강남점 (플라워로드),ANOTHER,8.05,5,526
대구,이스케이퍼스 대구점,끝까지 간다,8.04,9,161
홍대,키이스케이프 홍대점,홀리데이,8.04,6,739
잠실,마스터키 잠실점,이스케이프 플랜,8.03,8,332
